puzzle_id,step_idx,technique,row,col,action_type,value,candidate,values_before,candidates_before
0,0,single_candidates,0,8,set_value,6,,"[[1, 0, 0, 5, 0, 3, 7, 0, 0], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 7], [0, 8, 0, 9, 0, 7, 6, 0, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4, 6], [6]], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4, 5, 6], [1, 3, 5, 6]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5, 6, 7, 8], [3, 5, 6, 8, 9]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5, 9], [2, 3, 4, 5, 7, 8], [1, 3, 5, 8, 9]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 6, 9], [1, 2, 4, 5, 9], [8, 2, 3, 4], [1, 2, 3, 4, 5, 8], [1, 2, 4, 5], [9, 5], [8, 5], []], [[2, 3, 5], [], [1, 2, 5], [], [1, 2, 3, 5], [], [], [5], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,0,single_candidates,6,6,set_value,9,,"[[1, 0, 0, 5, 0, 3, 7, 0, 0], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 7], [0, 8, 0, 9, 0, 7, 6, 0, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4, 6], [6]], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4, 5, 6], [1, 3, 5, 6]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5, 6, 7, 8], [3, 5, 6, 8, 9]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5, 9], [2, 3, 4, 5, 7, 8], [1, 3, 5, 8, 9]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 6, 9], [1, 2, 4, 5, 9], [8, 2, 3, 4], [1, 2, 3, 4, 5, 8], [1, 2, 4, 5], [9, 5], [8, 5], []], [[2, 3, 5], [], [1, 2, 5], [], [1, 2, 3, 5], [], [], [5], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,0,single_candidates,6,7,set_value,8,,"[[1, 0, 0, 5, 0, 3, 7, 0, 0], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 7], [0, 8, 0, 9, 0, 7, 6, 0, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4, 6], [6]], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4, 5, 6], [1, 3, 5, 6]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5, 6, 7, 8], [3, 5, 6, 8, 9]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5, 9], [2, 3, 4, 5, 7, 8], [1, 3, 5, 8, 9]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 6, 9], [1, 2, 4, 5, 9], [8, 2, 3, 4], [1, 2, 3, 4, 5, 8], [1, 2, 4, 5], [9, 5], [8, 5], []], [[2, 3, 5], [], [1, 2, 5], [], [1, 2, 3, 5], [], [], [5], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,0,single_candidates,7,7,set_value,5,,"[[1, 0, 0, 5, 0, 3, 7, 0, 0], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 7], [0, 8, 0, 9, 0, 7, 6, 0, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4, 6], [6]], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4, 5, 6], [1, 3, 5, 6]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5, 6, 7, 8], [3, 5, 6, 8, 9]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [9, 2, 4, 5], [2, 3, 4, 5], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5, 9], [2, 3, 4, 5, 7, 8], [1, 3, 5, 8, 9]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 6, 9], [1, 2, 4, 5, 9], [8, 2, 3, 4], [1, 2, 3, 4, 5, 8], [1, 2, 4, 5], [9, 5], [8, 5], []], [[2, 3, 5], [], [1, 2, 5], [], [1, 2, 3, 5], [], [], [5], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,0,1,set_value,9,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,0,2,set_value,8,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,2,2,set_value,7,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,2,3,set_value,6,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,3,7,set_value,6,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,5,1,set_value,3,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,5,7,set_value,7,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,6,1,set_value,6,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
0,1,single_position,6,5,set_value,1,,"[[1, 0, 0, 5, 0, 3, 7, 0, 6], [6, 0, 3, 0, 0, 8, 0, 9, 0], [0, 0, 0, 0, 0, 9, 8, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0], [8, 7, 6, 1, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 6, 0, 0, 0], [0, 0, 0, 0, 0, 0, 9, 8, 7], [0, 8, 0, 9, 0, 7, 6, 5, 4], [7, 0, 0, 0, 6, 0, 3, 1, 2]]","[[[], [9, 2, 4], [8, 9, 2, 4], [], [2, 4], [], [], [2, 4], []], [[], [2, 4, 5], [], [2, 4, 7], [1, 2, 4, 7], [], [1, 2, 4, 5], [], [1, 5]], [[2, 4, 5], [2, 4, 5], [2, 4, 5, 7], [2, 4, 6, 7], [1, 2, 4, 7], [], [], [2, 3, 4], [1, 3, 5]], [[2, 3, 4, 5, 9], [], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4, 6, 7], [8, 9, 3, 5]], [[], [], [], [], [2, 3, 4, 5, 9], [2, 4, 5], [2, 4, 5], [2, 3, 4], [9, 3, 5]], [[2, 3, 4, 5, 9], [2, 3, 4, 5, 9], [9, 2, 4, 5], [2, 3, 4, 7, 8], [2, 3, 4, 5, 7, 8, 9], [], [1, 2, 4, 5], [2, 3, 4, 7], [1, 3, 5, 8, 9]], [[2, 3, 4, 5], [2, 3, 4, 5, 6], [1, 2, 4, 5], [2, 3, 4], [1, 2, 3, 4, 5], [1, 2, 4, 5], [], [], []], [[2, 3], [], [1, 2], [], [1, 2, 3], [], [], [], []], [[], [9, 4, 5], [9, 4, 5], [8, 4], [], [4, 5], [], [], []]]"
